"","it","alpha","N","E","D","C","L","w","SWI"
"1523",116,1.45,330,2771,0.051045408492217,0.111227388249365,2.42103711890946,0.449481091777784,0.0294339371797433
"1524",117,1.45,332,2818,0.0512867178684527,0.105205581241744,2.41402467877553,0.44325169321578,0.0256623525105848
"1525",118,1.45,334,2864,0.051500602398806,0.113082839288576,2.41614069158979,0.454863544232066,0.0280201196887464
"1526",119,1.45,336,2888,0.0513148542999289,0.109320626384056,2.41083866382374,0.449741386768137,0.026411238434725
"1527",120,1.45,338,2920,0.0512703457236669,0.107860168250932,2.4065106315734,0.448045548734445,0.0254457563619882
"1528",121,1.45,340,2965,0.0514488981433281,0.101287990057621,2.39337150789519,0.439171716260625,0.0221353242791774
"1529",122,1.45,342,3017,0.0517398089554287,0.104593278751299,2.39647750853184,0.446258164688619,0.0221312351323226
"1530",123,1.45,344,2998,0.0508170045426809,0.106053487192016,2.40621398060885,0.447904892709392,0.023908178244604
"1531",124,1.45,346,3129,0.05242523247047,0.106475392815117,2.38460249643964,0.450462698709532,0.0205423908714105
"1532",125,1.45,348,3182,0.0527013150485276,0.111180333389459,2.3827884328729,0.457539564066159,0.0209680237420367
"1533",126,1.45,350,3078,0.0503970528039296,0.107772948095116,2.40815390912812,0.452341437801165,0.0236941319121616
"1534",127,1.45,352,3074,0.0497604247604248,0.102904411764706,2.41252266252266,0.446618464345967,0.0224479405227046
"1535",128,1.45,354,3375,0.0540164209919816,0.109720973468859,2.35450777036219,0.456970307502579,0.0164565743851549
"1536",129,1.45,356,3334,0.0527615128976104,0.110297896195711,2.36804874188954,0.457594589747501,0.0184851983561867
"1537",130,1.45,358,3391,0.0530648013395302,0.110381197701535,2.36613304539693,0.459573038738426,0.0170505637583418
"1538",131,1.45,360,3303,0.0511142061281337,0.10542628031682,2.39099350046425,0.454216391518474,0.0185819786775428
"1539",132,1.45,362,3411,0.0522030578044413,0.112440628425283,2.37719043173505,0.463804441695312,0.0179063705363821
"1540",133,1.45,364,3366,0.0509490509490509,0.107301043006144,2.39186571004753,0.458206954807149,0.0182508553010514
"1541",134,1.45,366,3468,0.0519200538962497,0.115205516253246,2.3773635751179,0.4680720759128,0.0179699549614229
"1542",135,1.45,368,3522,0.0521561426371283,0.112324011004369,2.37335623741263,0.465907471275854,0.0159292141248121
"1543",136,1.45,370,3620,0.0530286383944921,0.110402130640441,2.35849996337801,0.464296673400902,0.0130638583783734
"1544",137,1.45,372,3575,0.0518070892386169,0.109630118511292,2.36844622206765,0.462459204427718,0.0150447843134297
"1545",138,1.45,374,3630,0.0520422646270304,0.112150703813542,2.37692649567748,0.469640302692662,0.013603788211635
"1546",139,1.45,376,3567,0.0505957446808511,0.106519359299378,2.38446808510638,0.460745492014051,0.0152692304522576
"1547",140,1.45,378,3714,0.0521241210896383,0.106868583438873,2.35693935693936,0.460881683550412,0.0119635477276213
"1548",141,1.45,380,3647,0.0506457436467157,0.111833568406206,2.38748784890987,0.469842857790873,0.0147962602007842
